X	EAF2	SPIB	KLF1	POU2F2	IKZF3	SPI1	BCL11A	IKZF1	IRF5	IRF8	NFE2	BTG2	AKNA	TCF7	GFI1B	KLF2	JUNB	GATA1	TAL1	MYB
PM.AU.0035.T.genes.results	 1.780016019	 1.455918811	 0.008988151	 0.223686163	 2.195042217	 2.654711932	 0.551568493	 3.299759333	 1.173100207	11.876922914	 0.142239454	17.214233557	 6.137909825	 0.882054361	 0.025125843	 4.513986777	39.247163493	 0.049425531	 0.348681526	 8.924437921
PM.AS.0025.T.genes.results	 6.13790983	 0.22368616	 0.02512584	 0.55156849	 1.78001602	 0.88205436	 3.29975933	 2.19504222	 1.17310021	 8.92443792	 0.34868153	17.21423356	 4.51398678	 2.65471193	 0.02512584	 1.45591881	39.24716349	 0.02512584	 0.14223945	11.87692291
PM.AS.0035.T.genes.results	 6.137909825	 0.551568493	 0.049425531	 0.348681526	 1.027577284	 2.195042217	 3.299759333	 1.455918811	 2.654711932	11.876922914	 0.025125843	17.214233557	 1.780016019	 1.027577284	 0.182962808	 4.513986777	39.247163493	 0.008988151	 0.182962808	 8.924437921
PM.AU.0038.T.genes.results	 1.17310021	 0.14223945	 0.04942553	 0.55156849	 0.88205436	 2.65471193	 4.51398678	 1.45591881	 6.13790983	11.87692291	 0.34868153	 8.92443792	 2.19504222	 3.29975933	 0.01705700	 1.78001602	39.24716349	 0.01705700	 0.22368616	17.21423356
PM.PS.0039.T.genes.results	 1.455918811	 0.182962808	 0.049425531	 0.348681526	 0.882054361	 6.137909825	 2.654711932	 1.780016019	 2.195042217	11.876922914	 0.551568493	 8.924437921	 4.513986777	 3.299759333	 0.025125843	 1.173100207	39.247163493	 0.008988151	 0.182962808	17.214233557
PM.AS.0009.T.genes.results	 6.137909825	 0.551568493	 0.182962808	 0.049425531	 2.654711932	 0.882054361	 3.299759333	 1.455918811	 1.173100207	 8.924437921	 0.025125843	11.876922914	 4.513986777	 1.780016019	 0.182962808	 2.195042217	39.247163493	 0.008988151	 0.348681526	17.214233557
PM.AU.0021.T.genes.results	 1.780016019	 0.049425531	 0.182962808	 0.551568493	 0.882054361	 4.513986777	 2.195042217	 1.173100207	 2.654711932	17.214233557	 0.182962808	 8.924437921	 3.299759333	 1.455918811	 0.008988151	 6.137909825	39.247163493	 0.025125843	 0.348681526	11.876922914
PM.AU.0039.T.genes.results	 8.924437921	 0.286183845	 0.095832492	 0.551568493	 0.882054361	 2.654711932	 3.299759333	 1.173100207	 1.455918811	11.876922914	 0.286183845	 6.137909825	 2.195042217	 1.780016019	 0.095832492	 4.513986777	39.247163493	 0.008988151	 0.025125843	17.214233557
PM.AS.0019.T.genes.results	 6.137909825	 2.654711932	 0.008988151	 0.142239454	 0.551568493	 3.299759333	 1.617967415	 0.882054361	 1.173100207	 8.924437921	 0.348681526	17.214233557	 1.617967415	 2.195042217	 0.025125843	 4.513986777	39.247163493	 0.049425531	 0.223686163	11.876922914
PM.AA.0060.T.genes.results	 2.65471193	 0.88205436	 0.01705700	 0.55156849	 1.45591881	 3.29975933	 0.22368616	 2.19504222	 1.78001602	 6.13790983	 0.14223945	17.21423356	 4.51398678	 1.17310021	 0.04942553	 8.92443792	39.24716349	 0.01705700	 0.34868153	11.87692291
PM.PS.0006.T.genes.results	 6.13790983	 0.14223945	 0.22368616	 0.45012501	 1.17310021	 4.51398678	 2.42487707	 0.88205436	 1.78001602	17.21423356	 0.04942553	 8.92443792	 2.42487707	 1.45591881	 0.01705700	 3.29975933	39.24716349	 0.01705700	 0.45012501	11.87692291
PM.AU.0033.T.genes.results	 3.299759333	 0.882054361	 0.049425531	 0.223686163	 1.780016019	 2.654711932	 0.551568493	 2.195042217	 1.455918811	11.876922914	 0.142239454	17.214233557	 4.513986777	 1.173100207	 0.008988151	 6.137909825	39.247163493	 0.025125843	 0.348681526	 8.924437921
PM.AS.0046.T.genes.results	 2.65471193	 0.04942553	 0.01705700	 0.22368616	 0.88205436	 1.78001602	 6.13790983	 1.17310021	 1.45591881	 8.92443792	 0.34868153	17.21423356	 4.51398678	 3.29975933	 0.14223945	 2.19504222	39.24716349	 0.01705700	 0.55156849	11.87692291
